incident,command,service name,expansion
0,C:\Windows\system32\pcalua.exe -a C:\Users\user\Desktop\SCCM 2016 Client\ccmsetup.exe -d C:\Users\user\Desktop\SCCM 2016 Client,\Windows\system32\pcalua.exe,exe
0,c:\program files (x86)\hostmonitor\rma-win\rma.exe /service, KS-Soft Remote Monitoring Agent (RMA),exe
0,C:\Windows\System32\drivers\aswSnx.sys,aswSnx,sys
0,c:\program files (x86)\usystem\agentserver\bin\usagent.exe,USystemAgentSystem,exe
1,%SystemRoot%\system32\svchost.exe -k netsvcs -p -s XLServicePlatform,XLServicePlatform 迅雷下载基础服务（用于快速申请磁盘空间及接管浏览器下载请求),exe
1,-,\restart-salt-minion,-
1,C:\Windows\SysWOW64\CZCBPassGuardNew\CZCBPassGuardXInputService.exe,CZCBPassGuardXInputService,xlsx
0,C:\Program Files (x86)\ASUS\AXSP\4.02.15,asComSvc,exe
1,C:\Program Files\BlueStacks_nxt\BstkDrv_nxt.sys,BlueStacks Hypervisor_nxt,sys
0,c:\oracle\ora11\bin\omtsreco.exe,OracleMTSRecoveryService,exe
0,systemroot\system32\drivers\asmtxhci.sys,ASMedia XHCI Service,sys
0,systemroot\system32\drivers\ssudmdm.sys,SAMSUNG  Mobile USB Modem Drivers (DEVGURU Ver),sys
1,C:\WebProjects\TestService2\TestService2\bin\Debug\TestService2.exe,Service1,exe
0,c:\program files\monitel\ck-11\client\logwriter.exe,CK11LogWriterService,exe
0,c:\program files (x86)\microsoft\edge\application\92.0.902.67\elevation_service.exe,c:\program files (x86)\microsoft\edge\application\92.0.902.67\elevation_service.exe,exe
0,C:\Windows\system32\drivers\AsIO3.sys,Asusgio3,sys
0,c:\windows\system32\mlpatch.exe,mlpatch,exe
0,system32\drivers\tib.sys,Acronis TIB Manager,sys
0,c:\windows\system32\hostname.exe,\T1053_005_OnStartup,exe
0,systemroot\system32\driverstore\filerepository\ialpss2_gpio2_tgl.inf_amd64_2546dafe2183e972\ialpss2_gpio2_tgl.sys,Intel(R) Serial IO GPIO Driver v2,sys
0,-,\ClearSpooler15min,-
0,systemroot%\system32\amdfendrsr.exe,amd psp service,exe
1,C:\WINDOWS\system32\OpenWith.exe http://go.microsoft.com/fwlink/?LinkId=286135,\DisplayDhtmlLoggger,exe
1,D:\Programms\RustDesk\RustDesk.exe --service;,RustDesk,exe
0,D:\Programms\RustDesk\RustDesk.exe --import-config C:\Users\User\AppData\Roaming\RustDesk\config\RustDesk.toml,\bro_,exe
0,C:\Program Files\Google\Chrome\Application\chrome.exe -- kiosk http://10.128.50.140/zabbix.php?action=dashboard.view&dashboardid=48,Virtual WiFi Miniport Service,sys
0,systemroot\system32\drivers\vwifimp.sys,UcmCx0101,sys
1,C:\Windows\System32\Drivers\UcmCx.sys,Quick Share Service,exe
